"Bid curve chart data (Reference time)","14.02.2013 00:00:00","Bid curve chart data (Reference time)","14.02.2013 01:00:00","Bid curve chart data (Reference time)","14.02.2013 02:00:00","Bid curve chart data (Reference time)","14.02.2013 03:00:00","Bid curve chart data (Reference time)","14.02.2013 04:00:00","Bid curve chart data (Reference time)","14.02.2013 05:00:00","Bid curve chart data (Reference time)","14.02.2013 06:00:00","Bid curve chart data (Reference time)","14.02.2013 07:00:00","Bid curve chart data (Reference time)","14.02.2013 08:00:00","Bid curve chart data (Reference time)","14.02.2013 09:00:00","Bid curve chart data (Reference time)","14.02.2013 10:00:00","Bid curve chart data (Reference time)","14.02.2013 11:00:00","Bid curve chart data (Reference time)","14.02.2013 12:00:00","Bid curve chart data (Reference time)","14.02.2013 13:00:00","Bid curve chart data (Reference time)","14.02.2013 14:00:00","Bid curve chart data (Reference time)","14.02.2013 15:00:00","Bid curve chart data (Reference time)","14.02.2013 16:00:00","Bid curve chart data (Reference time)","14.02.2013 17:00:00","Bid curve chart data (Reference time)","14.02.2013 18:00:00","Bid curve chart data (Reference time)","14.02.2013 19:00:00","Bid curve chart data (Reference time)","14.02.2013 20:00:00","Bid curve chart data (Reference time)","14.02.2013 21:00:00","Bid curve chart data (Reference time)","14.02.2013 22:00:00","Bid curve chart data (Reference time)","14.02.2013 23:00:00"
"Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR","Bid curve chart data (Currency for the values)","EUR"
"Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1","Bid curve chart data (Reference price object ID)","SP1"
"Bid curve chart data (Volume for accepted blocks buy)","250","Bid curve chart data (Volume for accepted blocks buy)","260","Bid curve chart data (Volume for accepted blocks buy)","265","Bid curve chart data (Volume for accepted blocks buy)","265","Bid curve chart data (Volume for accepted blocks buy)","265","Bid curve chart data (Volume for accepted blocks buy)","260","Bid curve chart data (Volume for accepted blocks buy)","186.9","Bid curve chart data (Volume for accepted blocks buy)","153.9","Bid curve chart data (Volume for accepted blocks buy)","153.9","Bid curve chart data (Volume for accepted blocks buy)","140","Bid curve chart data (Volume for accepted blocks buy)","163","Bid curve chart data (Volume for accepted blocks buy)","163","Bid curve chart data (Volume for accepted blocks buy)","158","Bid curve chart data (Volume for accepted blocks buy)","173","Bid curve chart data (Volume for accepted blocks buy)","173","Bid curve chart data (Volume for accepted blocks buy)","173","Bid curve chart data (Volume for accepted blocks buy)","186.9","Bid curve chart data (Volume for accepted blocks buy)","188.9","Bid curve chart data (Volume for accepted blocks buy)","118.9","Bid curve chart data (Volume for accepted blocks buy)","155","Bid curve chart data (Volume for accepted blocks buy)","153","Bid curve chart data (Volume for accepted blocks buy)","158","Bid curve chart data (Volume for accepted blocks buy)","93","Bid curve chart data (Volume for accepted blocks buy)","93"
"Bid curve chart data (Volume for accepted blocks sell)","1589.2","Bid curve chart data (Volume for accepted blocks sell)","1614.2","Bid curve chart data (Volume for accepted blocks sell)","1664.2","Bid curve chart data (Volume for accepted blocks sell)","1664.2","Bid curve chart data (Volume for accepted blocks sell)","1697.2","Bid curve chart data (Volume for accepted blocks sell)","1747.2","Bid curve chart data (Volume for accepted blocks sell)","1919.7","Bid curve chart data (Volume for accepted blocks sell)","2206.9","Bid curve chart data (Volume for accepted blocks sell)","2209.4","Bid curve chart data (Volume for accepted blocks sell)","2231.4","Bid curve chart data (Volume for accepted blocks sell)","2231.4","Bid curve chart data (Volume for accepted blocks sell)","2227.3","Bid curve chart data (Volume for accepted blocks sell)","2137.6","Bid curve chart data (Volume for accepted blocks sell)","2190.2","Bid curve chart data (Volume for accepted blocks sell)","2185.2","Bid curve chart data (Volume for accepted blocks sell)","2185.9","Bid curve chart data (Volume for accepted blocks sell)","2146.6","Bid curve chart data (Volume for accepted blocks sell)","2143.4","Bid curve chart data (Volume for accepted blocks sell)","2142","Bid curve chart data (Volume for accepted blocks sell)","2171.7","Bid curve chart data (Volume for accepted blocks sell)","1986.6","Bid curve chart data (Volume for accepted blocks sell)","1947.9","Bid curve chart data (Volume for accepted blocks sell)","1733.1","Bid curve chart data (Volume for accepted blocks sell)","1590.4"
"Bid curve chart data (Volume for net flows)","184.3","Bid curve chart data (Volume for net flows)","867.8","Bid curve chart data (Volume for net flows)","1663.8","Bid curve chart data (Volume for net flows)","1796.8","Bid curve chart data (Volume for net flows)","2300.7","Bid curve chart data (Volume for net flows)","1114.4","Bid curve chart data (Volume for net flows)","-2314.5","Bid curve chart data (Volume for net flows)","-3052.3","Bid curve chart data (Volume for net flows)","-3188.9","Bid curve chart data (Volume for net flows)","-3250.3","Bid curve chart data (Volume for net flows)","-3347.2","Bid curve chart data (Volume for net flows)","-3443.7","Bid curve chart data (Volume for net flows)","-3595.4","Bid curve chart data (Volume for net flows)","-3583.2","Bid curve chart data (Volume for net flows)","-3561.1","Bid curve chart data (Volume for net flows)","-3457","Bid curve chart data (Volume for net flows)","-3408.2","Bid curve chart data (Volume for net flows)","-3174.5","Bid curve chart data (Volume for net flows)","-3345.4","Bid curve chart data (Volume for net flows)","-3334.3","Bid curve chart data (Volume for net flows)","-3208.3","Bid curve chart data (Volume for net flows)","-2699.9","Bid curve chart data (Volume for net flows)","-1542.6","Bid curve chart data (Volume for net flows)","126.2"
"Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)",""
"Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200","Grid scale price","200"
"Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000","Grid scale volume","5000"
"Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000","Min price","-200.000000"
"Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000","Max price","2000.000000"
